s,m/s2
0.04990000,0.163367718458176
0.05000000,0.167746648192406
0.05010000,0.162469476461411
0.05020000,0.164378240704536
0.05030000,0.16404139995575
0.05040000,0.166511565446854
0.05050000,0.17279925942421
0.05060000,0.162469476461411
0.05070000,0.162694036960602
0.05080000,0.161908075213432
0.05090000,0.165613323450089
0.05100000,0.160560712218285
0.05110000,0.164265960454941
0.05120000,0.170104533433914
0.05130000,0.162244915962219
0.05140000,0.156743183732033
0.05150000,0.165164202451706
0.05160000,0.161346673965454
0.05170000,0.165950164198875
0.05180000,0.166623845696449
0.05190000,0.16763436794281
0.05200000,0.166960686445236
0.05210000,0.160897552967072
0.05220000,0.166623845696449
0.05230000,0.164153680205345
0.05240000,0.167858928442001
0.05250000,0.164827361702919
0.05260000,0.165388762950897
0.05270000,0.162244915962219
0.05280000,0.162244915962219
0.05290000,0.158764228224754
0.05300000,0.158764228224754
0.05310000,0.15809054672718
0.05320000,0.165501043200493
0.05330000,0.162132635712624
0.05340000,0.162806317210197
0.05350000,0.163143157958984
0.05360000,0.163929119706154
0.05370000,0.165950164198875
0.05380000,0.161795794963837
0.05390000,0.159101068973541
0.05400000,0.164715081453323
0.05410000,0.161234393715858
0.05420000,0.170665934681892
0.05430000,0.161009833216667
0.05440000,0.166174724698067
0.05450000,0.166287004947662
0.05460000,0.164153680205345
0.05470000,0.15809054672718
0.05480000,0.165725603699684
0.05490000,0.164490520954132
0.05500000,0.166062444448471
0.05510000,0.16404139995575
0.05520000,0.162581756711006
0.05530000,0.158315107226372
0.05540000,0.159437909722328
0.05550000,0.158539667725563
0.05560000,0.161683514714241
0.05570000,0.159101068973541
0.05580000,0.165388762950897
0.05590000,0.162357196211815
0.05600000,0.161683514714241
0.05610000,0.160897552967072
0.05620000,0.165725603699684
0.05630000,0.160111591219902
0.05640000,0.163143157958984
0.05650000,0.163479998707771
0.05660000,0.156630903482437
0.05670000,0.162694036960602
0.05680000,0.162581756711006
0.05690000,0.161908075213432
0.05700000,0.155957221984863
0.05710000,0.164490520954132
0.05720000,0.159550189971924
0.05730000,0.158764228224754
0.05740000,0.159101068973541
0.05750000,0.166623845696449
0.05760000,0.159774750471115
0.05770000,0.161683514714241
0.05780000,0.161908075213432
0.05790000,0.164939641952515
0.05800000,0.165613323450089
0.05810000,0.159774750471115
0.05820000,0.161122113466263
0.05830000,0.166399285197258
0.05840000,0.163367718458176
0.05850000,0.159999310970306
0.05860000,0.158202826976776
0.05870000,0.15887650847435
0.05880000,0.155508100986481
0.05890000,0.167072966694832
0.05900000,0.164715081453323
0.05910000,0.159774750471115
0.05920000,0.162581756711006
0.05930000,0.16505192220211
0.05940000,0.159887030720711
0.05950000,0.153936177492142
0.05960000,0.161234393715858
0.05970000,0.162132635712624
0.05980000,0.158651947975159
0.05990000,0.160223871469498
0.06000000,0.159999310970306
0.06010000,0.156743183732033
0.06020000,0.157865986227989
0.06030000,0.157865986227989
0.06040000,0.157304584980011
0.06050000,0.158202826976776
0.06060000,0.161795794963837
0.06070000,0.163592278957367
0.06080000,0.151353731751442
0.06090000,0.156967744231224
0.06100000,0.157304584980011
0.06110000,0.156630903482437
0.06120000,0.156518623232842
0.06130000,0.160897552967072
0.06140000,0.157304584980011
0.06150000,0.157978266477585
0.06160000,0.15191513299942
0.06170000,0.152925655245781
0.06180000,0.15887650847435
0.06190000,0.160897552967072
0.06200000,0.155620381236076
0.06210000,0.157192304730415
0.06220000,0.154946699738502
0.06230000,0.158202826976776
0.06240000,0.150567770004272
0.06250000,0.154385298490524
0.06260000,0.155508100986481
0.06270000,0.155058979988098
0.06280000,0.153037935495377
0.06290000,0.151690572500229
0.06300000,0.147873044013977
0.06310000,0.15270109474659
0.06320000,0.159437909722328
0.06330000,0.150904610753059
0.06340000,0.147760763764381
0.06350000,0.153823897242546
0.06360000,0.153823897242546
0.06370000,0.156630903482437
0.06380000,0.152251973748207
0.06390000,0.157978266477585
0.06400000,0.152813374996185
0.06410000,0.147311642765999
0.06420000,0.151016891002655
0.06430000,0.155058979988098
0.06440000,0.158202826976776
0.06450000,0.150455489754677
0.06460000,0.153599336743355
0.06470000,0.153262495994568
0.06480000,0.154273018240929
0.06490000,0.149557247757912
0.06500000,0.156181782484055
0.06510000,0.151466012001038
0.06520000,0.157865986227989
0.06530000,0.151690572500229
0.06540000,0.147423923015594
0.06550000,0.152027413249016
0.06560000,0.146750241518021
0.06570000,0.152139693498611
0.06580000,0.152476534247398
0.06590000,0.144729197025299
0.06600000,0.148434445261955
0.06610000,0.145066037774086
0.06620000,0.15629406273365
0.06630000,0.14573971927166
0.06640000,0.145402878522873
0.06650000,0.14832216501236
0.06660000,0.146413400769234
0.06670000,0.15011864900589
0.06680000,0.14832216501236
0.06690000,0.146413400769234
0.06700000,0.150230929255486
0.06710000,0.152251973748207
0.06720000,0.146413400769234
0.06730000,0.148546725511551
0.06740000,0.148995846509933
0.06750000,0.143381834030151
0.06760000,0.151578292250633
0.06770000,0.149669528007507
0.06780000,0.143044993281364
0.06790000,0.144055515527725
0.06800000,0.151690572500229
0.06810000,0.150006368756294
0.06820000,0.144729197025299
0.06830000,0.153262495994568
0.06840000,0.146076560020447
0.06850000,0.147311642765999
0.06860000,0.152364253997803
0.06870000,0.147873044013977
0.06880000,0.144280076026917
0.06890000,0.150792330503464
0.06900000,0.147985324263573
0.06910000,0.145402878522873
0.06920000,0.145290598273277
0.06930000,0.141585350036621
0.06940000,0.146413400769234
0.06950000,0.146413400769234
0.06960000,0.149557247757912
0.06970000,0.136532738804817
0.06980000,0.148546725511551
0.06990000,0.140687108039856
0.07000000,0.148097604513168
0.07010000,0.146862521767616
0.07020000,0.145964279770851
0.07030000,0.146188840270042
0.07040000,0.141248509287834
0.07050000,0.140125706791878
0.07060000,0.143494114279747
0.07070000,0.147199362516403
0.07080000,0.138216942548752
0.07090000,0.14832216501236
0.07100000,0.147760763764381
0.07110000,0.14753620326519
0.07120000,0.142932713031769
0.07130000,0.146637961268425
0.07140000,0.14573971927166
0.07150000,0.143606394529343
0.07160000,0.146301120519638
0.07170000,0.145402878522873
0.07180000,0.13877834379673
0.07190000,0.137430980801582
0.07200000,0.140911668539047
0.07210000,0.153150215744972
0.07220000,0.140462547540665
0.07230000,0.150230929255486
0.07240000,0.141248509287834
0.07250000,0.14394323527813
0.07260000,0.13877834379673
0.07270000,0.147087082266808
0.07280000,0.14495375752449
0.07290000,0.139676585793495
0.07300000,0.142034471035004
0.07310000,0.147873044013977
0.07320000,0.143830955028534
0.07330000,0.139676585793495
0.07340000,0.142146751284599
0.07350000,0.138441503047943
0.07360000,0.139452025294304
0.07370000,0.143381834030151
0.07380000,0.141136229038239
0.07390000,0.141248509287834
0.07400000,0.137880101799965
0.07410000,0.139115184545517
0.07420000,0.140687108039856
0.07430000,0.13619589805603
0.07440000,0.1395643055439
0.07450000,0.140799388289452
0.07460000,0.137543261051178
0.07470000,0.142820432782173
0.07480000,0.142820432782173
0.07490000,0.138890624046326
0.07500000,0.143044993281364
0.07510000,0.136308178305626
0.07520000,0.142932713031769
0.07530000,0.135522216558456
0.07540000,0.133613452315331
0.07550000,0.138104662299156
0.07560000,0.138441503047943
0.07570000,0.142034471035004
0.07580000,0.141473069787025
0.07590000,0.136083617806435
0.07600000,0.138104662299156
0.07610000,0.1395643055439
0.07620000,0.137543261051178
0.07630000,0.137655541300774
0.07640000,0.137543261051178
0.07650000,0.137655541300774
0.07660000,0.144616916775703
0.07670000,0.135971337556839
0.07680000,0.143044993281364
0.07690000,0.135185375809669
0.07700000,0.141023948788643
0.07710000,0.13877834379673
0.07720000,0.133950293064117
0.07730000,0.137543261051178
0.07740000,0.139788866043091
0.07750000,0.139115184545517
0.07760000,0.145066037774086
0.07770000,0.134736254811287
0.07780000,0.136308178305626
0.07790000,0.134062573313713
0.07800000,0.135409936308861
0.07810000,0.135409936308861
0.07820000,0.135297656059265
0.07830000,0.140799388289452
0.07840000,0.129683643579483
0.07850000,0.140237987041473
0.07860000,0.1369818598032
0.07870000,0.134848535060883
0.07880000,0.137543261051178
0.07890000,0.131255567073822
0.07900000,0.135185375809669
0.07910000,0.136308178305626
0.07920000,0.133388891816139
0.07930000,0.14057482779026
0.07940000,0.139115184545517
0.07950000,0.139901146292686
0.07960000,0.135409936308861
0.07970000,0.134287133812904
0.07980000,0.136869579553604
0.07990000,0.135297656059265
0.08000000,0.1395643055439
0.08010000,0.132041528820992
0.08020000,0.128673121333122
0.08030000,0.139339745044708
0.08040000,0.134623974561691
0.08050000,0.127887159585953
0.08060000,0.128897681832314
0.08070000,0.132378369569778
0.08080000,0.132266089320183
0.08090000,0.132378369569778
0.08100000,0.133725732564926
0.08110000,0.140013426542282
0.08120000,0.133613452315331
0.08130000,0.130694165825844
0.08140000,0.133725732564926
0.08150000,0.133950293064117
0.08160000,0.134062573313713
0.08170000,0.137992382049561
0.08180000,0.136645019054413
0.08190000,0.135859057307243
0.08200000,0.1343994140625
0.08210000,0.140125706791878
0.08220000,0.136869579553604
0.08230000,0.135746777057648
0.08240000,0.141922190785408
0.08250000,0.135634496808052
0.08260000,0.134960815310478
0.08270000,0.138890624046326
0.08280000,0.136308178305626
0.08290000,0.135073095560074
0.08300000,0.141248509287834
0.08310000,0.134736254811287
0.08320000,0.139227464795113
0.08330000,0.137655541300774
0.08340000,0.137094140052795
0.08350000,0.134062573313713
0.08360000,0.140013426542282
0.08370000,0.135073095560074
0.08380000,0.137767821550369
0.08390000,0.130245044827461
0.08400000,0.133501172065735
0.08410000,0.136869579553604
0.08420000,0.137992382049561
0.08430000,0.135746777057648
0.08440000,0.136869579553604
