dataset,param,kernel,seed,noise,b_rec,H_rec,pred_strw,gt_strw,gt_var,dist_to_strong,in_strong_zone,length_scales
n10_b2,b_H,rbf,3,0.0001,3.283,12.014,31.33,28.84,0.00766,0.2281,False,"[0.228, 0.55]"
n10_b2,b_H,rbf,4,0.0001,3.333,12.0,31.39,29.05,0.007002,0.2285,False,"[0.228, 0.55]"
n10_b2,b_dH_R,rbf,0,0.0001,2.039,22.219,30.54,19.71,0.128323,0.5849,False,"[3.0, 1.322, 0.15]"
n10_b2,b_dH_R,rbf,1,0.0001,2.01,22.247,30.51,19.56,0.128634,0.5894,False,"[3.0, 1.322, 0.15]"
n10_b2,b_dH_R,rbf,2,0.0001,2.008,22.063,30.56,18.93,0.124192,0.5767,False,"[3.0, 1.322, 0.15]"
n10_b2,b_dH_R,rbf,3,0.0001,2.014,22.004,30.58,18.81,0.122863,0.572,False,"[3.0, 1.322, 0.15]"
n10_b2,b_dH_R,rbf,4,0.0001,2.006,22.002,30.58,18.73,0.122674,0.5726,False,"[3.0, 1.322, 0.15]"
n10_b2,Pltb_Pbend,rbf,0,0.0001,2.857,15.861,31.57,29.86,0.000531,0.1541,False,"[0.15, 0.469]"
n10_b2,Pltb_Pbend,rbf,1,0.0001,2.702,15.947,31.46,29.77,0.001045,0.1741,False,"[0.15, 0.469]"
n10_b2,Pltb_Pbend,rbf,2,0.0001,2.841,15.902,31.53,29.8,0.000727,0.1584,False,"[0.15, 0.469]"
n10_b2,Pltb_Pbend,rbf,3,0.0001,2.897,15.857,31.58,29.87,0.000473,0.1504,False,"[0.15, 0.469]"
n10_b2,Pltb_Pbend,rbf,4,0.0001,2.947,15.81,31.63,29.98,0.000265,0.1429,True,"[0.15, 0.469]"
n10_b2,b_Pltb_Pbend,rbf,0,0.0001,2.994,15.849,31.31,29.93,0.000336,0.1423,True,"[3.0, 0.15, 0.448]"
n10_b2,b_Pltb_Pbend,rbf,1,0.0001,2.968,15.815,31.34,29.98,0.000261,0.1417,True,"[3.0, 0.15, 0.448]"
n10_b2,b_Pltb_Pbend,rbf,2,0.0001,3.058,15.818,31.36,30.05,0.000199,0.135,True,"[3.0, 0.15, 0.448]"
n10_b2,b_Pltb_Pbend,rbf,3,0.0001,2.897,15.857,31.28,29.87,0.000473,0.1504,False,"[3.0, 0.15, 0.448]"
n10_b2,b_Pltb_Pbend,rbf,4,0.0001,2.947,15.81,31.34,29.98,0.000265,0.1429,True,"[3.0, 0.15, 0.448]"
n10_b2,b_dH_Pltb_Pbend,rbf,0,0.0001,2.035,12.111,32.54,22.61,0.015618,0.3017,False,"[3.0, 0.283, 0.313, 3.0]"
n10_b2,b_dH_Pltb_Pbend,rbf,1,0.0001,2.025,12.035,32.57,22.63,0.014923,0.3075,False,"[3.0, 0.283, 0.313, 3.0]"
n10_b2,b_dH_Pltb_Pbend,rbf,2,0.0001,2.156,12.034,32.51,23.28,0.016382,0.2952,False,"[3.0, 0.283, 0.313, 3.0]"
n10_b2,b_dH_Pltb_Pbend,rbf,3,0.0001,2.055,12.023,32.56,22.79,0.015257,0.3055,False,"[3.0, 0.283, 0.313, 3.0]"
n10_b2,b_dH_Pltb_Pbend,rbf,4,0.0001,2.027,12.137,32.54,22.55,0.015802,0.3008,False,"[3.0, 0.283, 0.313, 3.0]"
