param,kernel,ls_bounds,acquisition,kappa,noise,b_rec,H_rec,pred_strw,gt_strw,gt_sig,dist_to_strong,in_strong_zone,gt_above_30,length_scales
b_H,rbf,loose,ucb,2.0,0.0003,2.483,12.002,31.81,23.4,0.1084,0.2574,False,False,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,loose,ucb,2.0,0.001,4.263,15.961,32.71,31.12,0.0063,0.0224,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,loose,ucb,2.0,0.003,4.595,15.655,32.99,30.94,0.0096,0.0196,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_H,rbf,loose,ucb,3.0,2.818553756278192e-05,2.422,12.074,32.03,23.13,0.1055,0.266,False,False,"[np.float64(0.176), np.float64(0.661)]"
b_H,rbf,loose,ucb,3.0,0.0001,2.452,12.052,31.97,23.26,0.1066,0.2617,False,False,"[np.float64(0.177), np.float64(0.661)]"
b_H,rbf,loose,ucb,3.0,0.0003,2.324,12.007,31.62,22.73,0.1041,0.28,False,False,"[np.float64(0.177), np.float64(0.66)]"
b_H,rbf,loose,ucb,3.0,0.001,4.373,15.896,32.69,31.05,0.0061,0.0295,True,True,"[np.float64(0.533), np.float64(0.568)]"
b_H,rbf,loose,ucb,3.0,0.003,4.643,15.757,32.98,30.74,0.0065,0.008,True,True,"[np.float64(0.578), np.float64(0.598)]"
b_dH_R,matern,adaptive,ei,,2.818553756278192e-05,4.878,14.663,34.26,31.76,0.0267,0.056,True,True,"[np.float64(0.302), np.float64(1.149), np.float64(3.0)]"
b_dH_R,matern,adaptive,ei,,0.0001,4.843,14.784,34.24,31.77,0.0286,0.0554,True,True,"[np.float64(0.303), np.float64(1.148), np.float64(3.0)]"
b_dH_R,matern,adaptive,ei,,0.0003,4.836,14.883,34.12,31.69,0.0309,0.0594,True,True,"[np.float64(0.304), np.float64(1.147), np.float64(3.0)]"
b_dH_R,matern,adaptive,ei,,0.001,4.887,14.767,33.68,31.69,0.0302,0.0604,True,True,"[np.float64(0.311), np.float64(1.147), np.float64(3.0)]"
b_dH_R,matern,adaptive,ei,,0.003,4.186,15.558,32.88,31.89,0.01,0.0295,True,True,"[np.float64(0.892), np.float64(1.567), np.float64(0.293)]"
b_dH_R,matern,adaptive,ucb,1.0,2.818553756278192e-05,4.925,14.516,34.18,31.69,0.0262,0.0608,True,True,"[np.float64(0.302), np.float64(1.149), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,1.0,0.0001,4.953,14.282,34.02,31.53,0.0297,0.0677,True,True,"[np.float64(0.303), np.float64(1.148), np.float64(3.0)]"
b_dH_R,matern,adaptive,ucb,1.0,0.0003,4.951,14.301,33.92,31.55,0.0291,0.0669,True,True,"[np.float64(0.304), np.float64(1.147), np.float64(3.0)]"
